Low output,"['not energising', 'not keeping up', 'pumping issue', 'underperforming', 'not high enough', 'lagging', 'running too slow', 'restricted', 'not efficient', 'struggling', 'slow', 'not efficiant', 'unable to reach', 'poor flow', 'unable to increase', 'unable to pump', 'pumping fault']"
Electrical,"['power issue', 'shorted out', 'faul', 'will not trip', 'keeps triping', 'static earth resistance', 'keeps tripping', 'faulting', 'surging', 'not charging', 'static', 'does not trip', 'fault finding', 'no phase', 'bore tripping', 'spill to ground', 'faulty earth', 'trips out', 'keeps on tripping', 'keeps tripping at start', 'tripping straight away', 'fault', 'tripping in', 'continually tripping', 'keeps tripping out', 'no earth', 'earth fault', 'shorting out', 'tripping on overload', 'down to earth', 'continually trips out', 'tripping cause', 'tripping on', 'tripped out', 'faulty', 'losing signal', 'tripping out on run up', 'earthing', 'didnt trip', 'tripping issue', 'tripping out', 'needs reset', 'fault tripping', 'trips on overload', 'triped', 'has high earth resistance', 'keeps tripping on start up', 'faulted', 'feedback', 'constantly tripping', 'tripping instantly', 'not in sequence', 'runs for a while and trip', 'has no equipment earth', 'doesnt trip', 'surging cutting in and out', 'failed electrical', 'no power']"
Failure to stop on demand,"['does not stop', 'not stopping', 'unable to shu', 'not stopping at', 'keeps kicking in', 'unable to reset', 'runs continuously']"
Abnormal instrument reading,"['no reading', 'giving false reading', 'false high level', 'false reading', 'alarming eratically', 'no static', 'no signal', 'need calibration', 'reading inaccurate', 'reading high', 'no speed control', 'reading stuck', 'high amp', 'no run indication', 'signal error', 'not accurate', 'shows offline while running in field', 'high earth resistance', 'not reading right', 'wrong range', 'not reading', 'not readingfalse', 'high earth reading']"
Other,"['running fault', 'running when sump empty', 'weak', 'sucked in', 'cold', 'problem', 'showing signs of failure', 'running when empty', 'hanging', 'issue', 'ongoing issue', 'running dry']"
Fail to close,['hard to close']
Contamination,"['contaminating condensate', 'low viscosity', 'milky', 'contaimination', 'emulsified', 'contamination trip', 'contaminated', 'contamination']"
High output,"['too fast', 'pulling very high', 'pumping at high out put', 'too high', 'sped up']"
Erratic output,"['excessive stopstart', 'erratic', 'cutting in and out', 'playing up', 'fluctuates at high rate', 'playingup', 'flickering anytime', 'cavitating']"
Failure to rotate,['locked']
Spurious stop,"['stopped pumping', 'stopped working', 'will not stay running', 'stopped abruptly', 'stopping', 'stopping randomly', 'stopped', 'stopped communicatiing', 'stops during operation', 'switched o']"
Fail to open,"['fails to open in sequence', 'failing to open fully']"
